Metric                                                                                                  main_qknorm       patched_fused
---------------------------------------------------------------------------------------------------------------------------------------
launch__grid_size                                                                                              2112                1056
launch__block_size                                                                                              128                 256
launch__grid_dim_x                                                                                             2112                1056
launch__grid_dim_y                                                                                                1                   1
launch__grid_dim_z                                                                                                1                   1
launch__block_dim_x                                                                                             128                 256
launch__waves_per_multiprocessor                                                                                  1                   1
launch__registers_per_thread                                                                                     28                  32
launch__shared_mem_per_block                                                                                   1024                1024
launch__thread_count                                                                                      2.703e+05           2.703e+05
launch__occupancy_limit_blocks                                                                                   32                  32
launch__occupancy_limit_registers                                                                                16                   8
launch__occupancy_limit_shared_mem                                                                               32                  32
launch__occupancy_limit_warps                                                                                    16                   8
device__attribute_multiprocessor_count                                                                          132                 132
device__attribute_max_warps_per_multiprocessor                                                                   64                  64
gpu__time_duration.sum                                                                                    1.794e+05           2.826e+05
smsp__cycles_active.avg                                                                                   2.521e+05           3.975e+05
sm__throughput.avg.pct_of_peak_sustained_elapsed                                                               66.8                68.4
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                                              64.57               73.15
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed                                       43.65               73.15
l1tex__throughput.avg.pct_of_peak_sustained_active                                                            41.46               76.29
sm__maximum_warps_per_active_cycle_pct                                                                          100                 100
sm__warps_active.avg.pct_of_peak_sustained_active                                                             87.12               88.62
sm__warps_active.avg.per_cycle_active                                                                         55.76               56.71
sm__warps_active.max.per_cycle_active                                                                         56.31               57.22
sm__warps_active.min.per_cycle_active                                                                         55.31               55.99
smsp__warps_active.avg.per_cycle_active                                                                       14.06               14.13
smsp__warps_eligible.avg.per_cycle_active                                                                     2.143               2.527
smsp__warps_eligible.max.per_cycle_active                                                                     2.235               2.699
sm__inst_executed.avg.per_cycle_active                                                                        2.743               2.853
smsp__issue_active.avg.per_cycle_active                                                                      0.6901              0.7099
smsp__issue_active.avg.pct_of_peak_sustained_active                                                           69.01               70.99
smsp__inst_executed.avg                                                                                   1.739e+05           2.821e+05
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active                                                      29               27.46
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed                                                  28.24               26.33
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active                                                   49.84               52.56
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active                                                   27.29                45.9
sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed                                                  26.57               44.01
sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_active                                                    6.967               4.467
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active                                                   7.155               13.26
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active                                                1.376               0.874
sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed                                                1.34               0.838
sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32_sparsity_off.avg                                                    0                   0
dram__bytes_read.sum                                                                                      2.921e+08            3.07e+08
dram__bytes_read.sum.pct_of_peak_sustained_elapsed                                                            33.85               22.58
dram__bytes_read.sum.per_second                                                                           1.628e+12           1.086e+12
dram__bytes_write.sum                                                                                     2.651e+08           2.658e+08
dram__bytes_write.sum.pct_of_peak_sustained_elapsed                                                           30.72               19.54
dram__sectors_read.sum                                                                                    9.128e+06           9.594e+06
dram__sectors_write.sum                                                                                   8.284e+06           8.305e+06
l1tex__t_sector_hit_rate.pct                                                                                  65.02               87.95
lts__t_sector_hit_rate.pct                                                                                    50.08               50.16
l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct                                                        49.99                87.5
l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct                                                        95.09               92.52
smsp__sass_inst_executed_op_global_ld.sum                                                                 2.282e+06           1.255e+07
smsp__sass_inst_executed_op_global_st.sum                                                                 1.141e+06           1.141e+06
smsp__sass_inst_executed_op_local_ld.sum                                                                          0                   0
smsp__sass_inst_executed_op_local_st.sum                                                                          0                   0
smsp__sass_inst_executed_op_shared.sum                                                                            0                   0
smsp__sass_inst_executed_op_shared_ld.sum                                                                         0                   0
smsp__sass_inst_executed_op_shared_st.sum                                                                         0                   0
l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum                                                            1.825e+07            9.24e+07
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_hit.sum                                                 9.124e+06           8.085e+07
l1tex__t_sectors_pipe_lsu_mem_global_op_ld_lookup_miss.sum                                                9.129e+06           1.155e+07
l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum                                                            9.125e+06           9.151e+06
l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum                                                           2.282e+06           1.255e+07
l1tex__t_requests_pipe_lsu_mem_global_op_st.sum                                                           1.141e+06           1.141e+06
smsp__sass_average_data_bytes_per_sector_mem_global_op_st.ratio                                                  32                  32
smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio                                      11.95               9.785
smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio                                     1.831               2.449
smsp__average_warps_issue_stalled_wait_per_issue_active.ratio                                                 2.226               2.192
smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio                                                  0                   0
smsp__average_warps_issue_stalled_membar_per_issue_active.ratio                                                   0                   0
smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio                                  0.7507              0.9574
smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio                                       0.01136              0.2731
smsp__average_warps_issue_stalled_lg_throttle_per_issue_active.ratio                                              0             0.02651
smsp__average_warps_issue_stalled_tex_throttle_per_issue_active.ratio                                             0                   0
smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio                                         2.107               2.556
smsp__average_warps_issue_stalled_branch_resolving_per_issue_active.ratio                                    0.1896              0.1173
smsp__average_warps_issue_stalled_dispatch_stall_per_issue_active.ratio                                      0.2752               0.354
smsp__average_warps_issue_stalled_drain_per_issue_active.ratio                                            0.0005797            0.001271
